[k2] boot A(stage2)=True B(stage0)=True
[k2] g0: A=L ply=242 mate(19s)
[k2] g1: A=D ply=237 draw-material(18s)
[k2] g2: A=W ply=123 mate(10s)
[k2] g3: A=L ply=137 mate(11s)
[k2] g4: A=W ply=159 mate(12s)
[k2] g5: A=W ply=210 mate(16s)
[k2] g6: A=W ply=123 mate(10s)
[k2] g7: A=L ply=105 mate(8s)
[k2] g8: A=D ply=172 draw-claim(13s)
[k2] g9: A=L ply=163 mate(13s)
[k2] g10: A=W ply=189 mate(15s)
[k2] g11: A=D ply=246 draw-claim(19s)
[k2] g12: A=D ply=161 draw-claim(12s)
[k2] g13: A=D ply=213 draw-claim(16s)
[k2] g14: A=D ply=156 draw-material(12s)
[k2] g15: A=W ply=160 mate(12s)
[k2] g16: A=W ply=123 mate(10s)
[k2] g17: A=L ply=137 mate(11s)
[k2] g18: A=W ply=207 mate(16s)
[k2] g19: A=W ply=184 mate(14s)
[k2] g20: A=D ply=246 draw-claim(19s)
[k2] g21: A=L ply=209 mate(16s)
[k2] g22: A=W ply=187 mate(14s)
[k2] g23: A=W ply=166 mate(13s)
[k2] g24: A=W ply=157 mate(12s)
[k2] g25: A=W ply=172 mate(13s)
[k2] g26: A=W ply=143 mate(11s)
[k2] g27: A=D ply=187 draw-claim(14s)
[k2] g28: A=D ply=185 draw-material(14s)
  [DBG g29 ply133] no bestmove; last lines: info depth 1 score cp -728 nodes 48 nps 0 time 0 tt_probes 1 tt_hits 1 tt_cutoffs 1 pv b2h2 | info depth 2 score cp -723 nodes 203 nps 0 time 0 tt_probes 20 tt_hits 3 tt_cutoffs 3 pv b2b3 d3d4 | info depth 3 score cp -741 nodes 623 nps 0 time 0 tt_probes 62 tt_hits 23 tt_cutoffs 6 pv b2b3 d3d4 b3g3 | info depth 4 score cp -732 nodes 2155 nps 0 time 1 tt_probes 345 tt_hits 99 tt_cutoffs 43 pv b2b3 d3d4 b3b4 d4e5 | info depth 5 score cp -750 nodes 5081 nps 3118134 time 2 tt_probes 900 tt_hits 342 tt_cutoffs 100 pv b2b3 d3d4 b3g3 c6b7 c8b8 | info depth 6 score cp -750 nodes 15985 nps 4283800 time 4 tt_probes 2217 tt_hits 965 tt_cutoffs 297 pv b2b3 d3d4 b3g3 c6b7 c8b8 d7h7 | info depth 7 score cp -779 nodes 55101 nps 3991322 time 14 tt_probes 10512 tt_hits 4158 tt_cutoffs 2338 pv b2b3 d3d4 b3b4 d4e5 b4b3 e6e7 b3e3 | info depth 8 score cp -779 nodes 169109 nps 6126715 time 28 tt_probes 19809 tt_hits 9715 tt_cutoffs 4265 pv b2b3 d3d4 b3b4 d4e5 b4b3 e5d4 b3b4 d4e5 | info depth 9 score cp -779 nodes 304277 nps 5049117 time 60 tt_probes 54982 tt_hits 23837 tt_cutoffs 15187 pv b2b3 d3d4 b3b4 d4d5 b4b2 d7h7 b2d2 d5e5 c8d8
[k2] g29: BAD TIMEOUT
